id,filename,pages,readability,duplicate_of,review_status,document_type,project_fit,candidate_factors,decision,reason
1,101 Formulaic Alphas - arXiv.org.pdf,22,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
2,151 Trading Strategies.pdf,480,text,,screened_reference,book_paper_or_reference,no_direct_increment,,not_selected,"Title, contents, and formula-heavy pages screened; no incremental project factor selected."
3,151 Trading Strategies论文版.pdf,361,text,,screened_reference,book_paper_or_reference,no_direct_increment,,not_selected,"Title, contents, and formula-heavy pages screened; no incremental project factor selected."
4,20130620-国泰君安-2013年夏季金融工程沙龙：高频交易，海外发展与国内展望.pdf,28,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
5,20131211-民生证券-CTA程序化交易实务研究之六：基于机器学习的订单簿高频交易策略.pdf,16,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
6,20140815-银河证券-CTA程序化交易实务研究之八：期指Level2行情的价格发现研究及高频实战体会.pdf,16,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
7,20160606-海通证券-选股因子系列研究（十一）：Level2行情选股因子初探.pdf,17,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
8,20170310-长江证券-金工高频识途系列（一）：基于买入行为构建情绪因子.pdf,20,text,,selected_source,research_report,factor_or_strategy_candidate,positive_buy_cautious_buy_ratio_20d,keep,Used in the consolidated implementation or strategy recommendations.
9,20170505-海通证券-选股因子系列研究（十九）：高频因子之股票收益分布特征.pdf,19,text,,selected_source,research_report,factor_or_strategy_candidate,realized_return_skew_20d_1m;realized_return_kurtosis_20d_1m,keep,Used in the consolidated implementation or strategy recommendations.
10,20170801-天风证券-利用高频数据拓展盘口数据：买卖压力失衡.pdf,13,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
11,20170813-方正证券-“聆听高频世界的声音”系列研究（六）：本福特的启示，从分钟成交量看机构痕迹.pdf,8,text,,selected_source,research_report,factor_or_strategy_candidate,benford_volume_deviation_5000,keep,Used in the consolidated implementation or strategy recommendations.
12,20170909-海通证券-选股因子系列研究（二十五）：高频因子之已实现波动分解.pdf,17,text,,selected_source,research_report,factor_or_strategy_candidate,upside_variance_share_20d_1m,keep,Used in the consolidated implementation or strategy recommendations.
13,20180826-安信证券-机器学习与CTA：本周行情有利于中高频策略.pdf,5,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
14,20181101-海通证券-金融工程专题报告：高频量价因子在股票与期货中的表现.pdf,26,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
15,20190601-长江证券-基础因子研究（七）：高频因子（二），结构化反转因子.pdf,24,text,,selected_source,research_report,factor_or_strategy_candidate,structured_reversal_volume_quantile_10m,keep,Used in the consolidated implementation or strategy recommendations.
16,20190611-海通证券-金融工程专题报告：听海外高频交易专家讲解美国的高频交易.pdf,18,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
17,20190721-长江证券-基础因子研究（八）：高频因子（三），高频因子研究框架.pdf,26,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
18,20190810-长江证券-基础因子研究（十）：高频因子（五），高频因子和交易行为.pdf,22,text,,selected_source,research_report,factor_or_strategy_candidate,path_illiquidity_5m;active_buy_sell_strength_21d_42d,keep,Used in the consolidated implementation or strategy recommendations.
19,20191013-长江证券-基础因子研究（十一）：高频因子（六），特异视角下的波动率因子.pdf,26,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
20,20191029-招商证券-“琢璞”系列报告之二：高频数据中的知情交易.pdf,18,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
21,20191106-东吴证券-金工专题报告：ETF情绪温度计_基于高频折溢价的择时策略.pdf,14,text,,selected_source,research_report,factor_or_strategy_candidate,etf_premium_discount_sentiment,keep,Used in the consolidated implementation or strategy recommendations.
22,20191113-海通证券-金融工程专题报告：高频因子在不同周期和域下的表现及影响因素分析.pdf,22,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
23,20191230-安信证券-中高频交易策略再出发：机器学习T0.pdf,23,text,,selected_strategy_source,research_report,strategy_candidate,,strategy_only,"Useful at model, portfolio, execution, or risk layer rather than as an atomic factor."
24,20200223-东吴证券-“技术分析拥抱选股因子”系列研究（一）：高频价量相关性，意想不到的选股因子.pdf,19,text,,selected_source,research_report,factor_or_strategy_candidate,pv_corr_avg_20d;pv_corr_std_20d;pv_corr_trend_20d,keep,Used in the consolidated implementation or strategy recommendations.
25,20200223-海通证券-选股因子系列研究（五十九）：基于逐笔成交数据的高频因子梳理.pdf,16,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
26,20200225-东吴证券-“ETF情绪温度计”系列研究（三）：ETF情绪温度计，高频折溢价的基差预测能力.pdf,20,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
27,20200227-方正证券-市场微观结构剖析系列6：量价关系的高频乐章 .pdf,27,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
28,20200305-海通证券-选股因子系列研究（六十）：如何利用高频因子的空头效应？.pdf,18,text,,selected_strategy_source,research_report,strategy_candidate,,strategy_only,"Useful at model, portfolio, execution, or risk layer rather than as an atomic factor."
29,20200322-海通证券-选股因子系列研究（六十一）：从加权IC到机器学习，高频因子多头失效的修正.pdf,20,text,,selected_strategy_source,research_report,strategy_candidate,,strategy_only,"Useful at model, portfolio, execution, or risk layer rather than as an atomic factor."
30,20200413-海通证券-选股因子系列研究（六十三）：剔除高频多因子空头组合后的沪深300指数增强策略.pdf,20,text,,selected_strategy_source,research_report,strategy_candidate,,strategy_only,"Useful at model, portfolio, execution, or risk layer rather than as an atomic factor."
31,20200424-海通证券-选股因子系列研究（六十四）：基于直观逻辑和机器学习的高频数据低频化应用.pdf,20,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
32,20200514-天风证券-市场微观结构探析系列之四：结合中高频信息的指数增强策略.pdf,28,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
33,20200527-海通证券-选股因子系列研究（六十五）：剔除高频因子空头组合后的中证500指数增强策略.pdf,19,text,,selected_strategy_source,research_report,strategy_candidate,,strategy_only,"Useful at model, portfolio, execution, or risk layer rather than as an atomic factor."
34,20200610-华安证券-高频视角下成交额蕴藏的Alpha：市场微观结构剖析之七.pdf,25,text,,selected_source,research_report,factor_or_strategy_candidate,tail_amount_share_20m_ewma15d,keep,Used in the consolidated implementation or strategy recommendations.
35,20200618-东吴证券-“高频价量相关性拥抱CTA”系列研究（一）：CPV因子期货版.pdf,13,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
36,20200620-招商证券-“高频寻踪”系列之一：交易指令流中的Alpha.pdf,33,text,,selected_strategy_source,research_report,strategy_candidate,,strategy_only,"Useful at model, portfolio, execution, or risk layer rather than as an atomic factor."
37,20200623-海通证券-选股因子系列研究（六十七）：短周期高频因子与组合调仓收益增强.pdf,22,text,,selected_strategy_source,research_report,strategy_candidate,,strategy_only,"Useful at model, portfolio, execution, or risk layer rather than as an atomic factor."
38,20200630-招商证券-“琢璞”系列报告之十七：高频数据中的知情交易（二）.pdf,26,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
39,20200701-长江证券-负面Alpha研究（三）：高频因子篇，如何利用负面因子做指数增强？.pdf,25,text,,selected_strategy_source,research_report,strategy_candidate,,strategy_only,"Useful at model, portfolio, execution, or risk layer rather than as an atomic factor."
40,20200728-财通证券-高频波动率择时指标：RSJ市场情绪冷暖剂.pdf,24,text,,selected_source,research_report,factor_or_strategy_candidate,rsj_close_hour,keep,Used in the consolidated implementation or strategy recommendations.
41,20200730-海通证券-选股因子系列研究（六十九）：高频因子的现实与幻想.pdf,30,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
42,20200810-长江证券-基础因子研究（十二），高频因子（七）：分布估计下的主动成交占比.pdf,22,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
43,20200829-海通证券-金融工程专题报告：选股因子系列研究（七十），日内市场微观结构与高频因子选股能力.pdf,17,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
44,20200901-东吴证券-“波动率选股因子”系列研究（二）：信息分布均匀度，基于高频波动率的选股因子.pdf,13,text,,selected_source,research_report,factor_or_strategy_candidate,uid_information_uniformity_20d,keep,Used in the consolidated implementation or strategy recommendations.
45,20200916-长江证券-基础因子研究（十三）：高频因子（八），高位成交因子，从量价匹配说起.pdf,20,text,,selected_source,research_report,factor_or_strategy_candidate,volume_weighted_close_ratio;volume_weighted_price_skew,keep,Used in the consolidated implementation or strategy recommendations.
46,20201012-长江证券-基础因子研究（十四）：高频因子（九），高频波动中的时间序列信息.pdf,22,text,,selected_source,research_report,factor_or_strategy_candidate,volume_volatility_cv_20d;volume_diff_abs_mean_20d,keep,Used in the consolidated implementation or strategy recommendations.
47,20201114-开源证券-开源量化评论（11）：北上资金高频数据的CTA潜力.pdf,9,text,,selected_strategy_source,research_report,strategy_candidate,,strategy_only,"Useful at model, portfolio, execution, or risk layer rather than as an atomic factor."
48,20201219-招商证券-ESG投资研究系列之三：高频ESG数据，穿着燕尾服的Alpha.pdf,17,text,,screened_text,research_report,overlap_or_lower_priority,,not_selected,"Text evidence packet screened; overlaps a selected family/current registry, is model-level, or needs unavailable data."
